point_id,point_type,role,easting,northing,elevation,elevation_units,horizontal_crs,vertical_datum,geoid_model,project_id,collected,source,verified,va_blocks,usgs_ql1_dem_z_m,usgs_ql1_dem_error_m,usgs_ql1_laz_z_m,usgs_ql1_laz_error_m,usgs_ql0_dem_z_m,usgs_ql0_dem_error_m,usgs_ql0_laz_z_m,usgs_ql0_laz_error_m
1011_2021_MN,LCP,calibration,433932.108,4909578.307,312.382,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1012_2021_MN,LCP,calibration,433904.248,4906989.898,315.247,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1013_2021_MN,LCP,calibration,427372.676,4904257.629,306.302,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1014_2021_MN,LCP,calibration,427901.088,4901603.2,309.001,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1015_2021_MN,LCP,calibration,428246.889,4898996.501,319.98,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1016_2021_MN,LCP,calibration,430612.247,4896354.763,314.73,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1017_2021_MN,LCP,calibration,443443.562,4893322.08,326.422,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1018_2021_MN,LCP,calibration,443225.978,4891480.947,325.015,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1019_2021_MN,LCP,calibration,545188.792,4895170.409,355.863,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1020_2022_MN,LCP,calibration,546400.068,4892535.055,337.831,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1021_2022_MN,LCP,calibration,546426.665,4889511.929,342.452,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1022_2022_MN,LCP,calibration,546598.082,4886685.147,321.215,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1023_2022_MN,LCP,calibration,545759.955,4884656.922,322.181,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1024_2022_MN,LCP,calibration,545007.53,4882916.515,302.742,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1025_2022_MN,LCP,calibration,544174.672,4881071.388,308.932,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1026_2022_MN,LCP,calibration,543982.736,4879238.961,313.665,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1027_2022_MN,LCP,calibration,543575.629,4877449.823,322.77,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1028_2022_MN,LCP,calibration,543016.915,4875706.444,301.429,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1029_2022_MN,LCP,calibration,542975.741,4873885.888,304.265,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1030_2022_MN,LCP,calibration,542888.789,4872145.688,308.107,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1031_2022_MN,LCP,calibration,543097.41,4870275.6,322.745,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1032_2022_MN,LCP,calibration,542988.198,4868541.43,321.166,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1033_2022_MN,LCP,calibration,542705.497,4866599.611,334.38,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1034_2022_MN,LCP,calibration,542865.552,4864958.884,356.255,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1035_2022_MN,LCP,calibration,542035.152,4863217.998,385.92,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1036_2022_MN,LCP,calibration,541687.433,4861588.754,389.339,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1037_2022_MN,LCP,calibration,541155.128,4859579.631,384.137,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1038_2022_MN,LCP,calibration,539348.361,4858055.875,388.277,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1039_2022_MN,LCP,calibration,537841.23,4856042.985,378.417,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1040_2022_MN,LCP,calibration,536698.276,4854340.687,379.209,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1041_2021_MN,LCP,calibration,535674.434,4853238.704,390.537,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1042_2021_MN,LCP,calibration,534334.847,4851857.438,404.487,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1043_2021_MN,LCP,calibration,511653.775,4941452.06,272.975,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1044_2021_MN,LCP,calibration,476272.178,4934380.104,343.786,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1045_2021_MN,LCP,calibration,476778.793,4926242.627,319.364,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1046_2021_MN,LCP,calibration,476686.577,4918079.06,312.118,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1047_2021_MN,LCP,calibration,476611.188,4909950.548,315.67,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1048_2021_MN,LCP,calibration,476410.116,4901906.86,322.816,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1049_2021_MN,LCP,calibration,477795.464,4897877.864,343.221,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1050_2021_MN,LCP,calibration,479544.01,4893951.926,342.688,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1051_2021_MN,LCP,calibration,479349.684,4889850.058,339.99,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1052_2021_MN,LCP,calibration,480233.419,4885823.501,348.351,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1053_2021_MN,LCP,calibration,480367.438,4881914.557,361.9,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1054_2021_MN,LCP,calibration,479449.106,4877901.952,354.963,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1055_2021_MN,LCP,calibration,479897.895,4873998.801,360.693,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1056_2021_MN,LCP,calibration,479519.969,4869962.188,358.711,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1057_2021_MN,LCP,calibration,478553.452,4865783.848,360.679,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1058_2021_MN,LCP,calibration,477732.112,4861617.901,364.147,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1059_2021_MN,LCP,calibration,477727.479,4857435.026,373.071,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1060_2021_MN,LCP,calibration,476757.067,4853228.789,389.999,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1061_2021_MN,LCP,calibration,475313.012,4848904.024,386.362,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1062_2021_MN,LCP,calibration,474497.578,4844886.739,407.844,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1063_2021_MN,LCP,calibration,474240.018,4840758.902,389.405,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1064_2021_MN,LCP,calibration,474112.961,4836628.411,386.647,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1065_2021_MN,LCP,calibration,473942.23,4832449.238,383.103,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1066_2021_MN,LCP,calibration,473012.41,4828319.375,383.617,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1067_2021_MN,LCP,calibration,477227.19,4824168.038,375.207,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1068_2021_MN,LCP,calibration,479225.928,4819986.767,371.165,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1069_2021_MN,LCP,calibration,480156.357,4815773.076,380.75,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1070_2021_MN,LCP,calibration,480542.126,4814446.734,375.963,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1071_2021_MN,LCP,calibration,556131.329,4923979.271,208.728,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1072_2021_MN,LCP,calibration,559278.904,4920037.033,208.973,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1073_2021_MN,LCP,calibration,554056.134,4915133.986,325.454,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1074_2021_MN,LCP,calibration,546886.617,4910232.424,346.859,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1075_2021_MN,LCP,calibration,546920.637,4905384.315,310.759,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1076_2021_MN,LCP,calibration,545436.084,4900523.842,341.992,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1077_2021_MN,LCP,calibration,544897.029,4895620.467,354.836,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1078_2021_MN,LCP,calibration,579942.236,4888142.038,216.438,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1079_2021_MN,LCP,calibration,579659.824,4885857.071,219.366,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1080_2021_MN,LCP,calibration,577786.52,4881178.962,231.671,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1081_2021_MN,LCP,calibration,574596.513,4872136.429,357.652,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
